foodname,materials
karnıyarık,"patlcan,biber,soan,domates"
mantı,"un,yumurta,et,soan,yourt,sarmsak"
pizza,"hamur,peynir,domates,pepperoni"
salata,"marul,domates,salatalk,zeytinya"
çorba,"tavuk,sebze,makarna"
börek,"yufka,peynir,maydanoz,yumurta"
dolma,"zm yapra,pirin,kyma,baharat"
kebap,"kyma,soan,biber,baharat"
lahmacun,"hamur,kyma,soan,biber"
döner,"et,baharat,yourt,lava"
pilav,"pirin,tereya,su,tuz"
cacık,"yourt,salatalk,nane,sarmsak"
imambayıldı,"patlcan,domates,soan,sarmsak,zeytinya"
menemen,"domates,yumurta,biber,soan"
simit,"un,susam,su,tuz"
kurabiye,"un,eker,tereya,yumurta"
kek,"un,eker,yumurta,st,kabartma tozu"
baklava,"yufka,ceviz,erbet,tereya"
döner dürüm,"dner,lava,domates,soan,maydanoz"
iskender kebap,"dner,pilav,yourt,domates sosu"
su böreği,"yufka,peynir,maydanoz,yumurta,st"
pide,"hamur,peynir,sucuk,yumurta"
çiğ köfte,"ince bulgur,biber salas,domates,yeillik"
helva,"un,tereya,eker,su"
ayran aşı çorbası,"yourt,nohut,bulgur,nane"
etli ekmek,"hamur,kyma,soan,biber"
tepsi kebabı,"kyma,patates,biber,domates"
fırın makarna,"makarna,kaar peyniri,domates,beamel"
kabak tatlısı,"kabak,eker,ceviz,tarn"
sütlaç,"pirin,st,eker,vanilya"
revani,"un,eker,yumurta,irmik,limon"
spagetti,"makarna,domates sosu,kfte,peynir"
hamburger,"ekmek,kfte,peynir,domates,marul"
falafel,"nohut,soan,yeillik,baharat"
taco,"msr ekmei,et,domates,marul,peynir"
kumpir,"patates,salam,peynir,zeytin,ksr"
lasagna,"makarna,yemeklik et,beamel sos,peynir"
kısır,"bulgur,tuz,domates,salatalk,nane,limon"
muffin,"un,yumurta,eker,vanilya"
sushi,"pirin,balk,soya sosu,wasabi"
çörek,"un,yumurta,tuz,tereya"
gözleme,"yufka,peynir,spanak,zeytinya"
yoğurtlu kabak,"kabak,yourt,sarmsak,zeytinya"
börek (ıspanak),"yufka,peynir,spanak,tereya"
fırın tavuk,"tavuk,limon,soan,patates"
beşamel soslu karnıbahar,"karnbahar,beamel sos,tereya,peynir"
mücver,"kabak,un,yumurta,tuz,soan"
şiş kebap,"et,biber,tuz,soan"
balık ekmek,"balk,ekmek,soan,limon"
közlenmiş patlıcan salatası,"patlcan,domates,soan,zeytinya"
etli pilav,"pirin,et,soan,biber"
spaghetti carbonara,"spagetti,pancetta,yumurta,parmesan,karabiber"
risotto,"arborio pirinci,beyaz arap,parmesan,tereya,soan,et suyu"
tiramisu,"mascarpone,espresso,savoiardi biskvileri,kakao tozu,yumurta,eker"
caprese salad,"domates,mozzarella,fesleen,zeytinya,tuz"
margherita pizza,"hamur,domates sosu,mozzarella,fesleen"
bolognese,"kyma,domates sosu,soan,havu,kereviz,makarna"
fettuccine alfredo,"fettuccine,tereya,parmesan,krema"
minestrone soup,"sebzeler,fasulye,makarna,domates,zeytinya"
osso buco,"dana incik,sebzeler,beyaz arap,et suyu,gremolata"
panettone,"un,eker,yumurta,kuru meyveler,tereya"
quiche lorraine,"hamur,yumurta,krema,bacon,peynir"
ratatouille,"patlcan,kabak,biber,domates,soan,sarmsak,otlar"
coq au vin,"tavuk,krmz arap,mantar,soanlar,bacon,sarmsak"
bouillabaisse,"balk,kabuklu deniz rnleri,domates,safran,rezene,sarmsak"
crêpes,"un,st,yumurta,tereya,eker"
croissant,"un,tereya,maya,eker,tuz"
steak frites,"biftek,patates kzartmas,tuz,karabiber"
soupe à l'oignon,"soan,et suyu,krutonlar,gruyere peyniri"
tarte tatin,"elma,milfy hamuru,tereya,eker"
cassoulet,"beyaz fasulye,rdek,sosis,domuz eti"
nicoise salad,"ton bal,yeil fasulye,zeytin,patates,yumurta,anuez"
beef bourguignon,"dana eti,krmz arap,mantarlar,havular,soanlar,sarmsak"
sole meunière,"sole bal,un,tereya,limon,maydanoz"
duck confit,"rdek,tuz,sarmsak,kekik,rdek ya"
paella,"pirin,safran,tavuk,deniz rnleri,sebzeler"
gazpacho,"domates,salatalk,biber,sarmsak,zeytinya,sirke"
tortilla española,"yumurta,patates,soan,zeytinya"
croquetas,"beamel sos,jambon,peynir,galeta unu"
churros,"un,su,tuz,eker,ya"
empanadas,"hamur,sr eti,soan,zeytin,baharatlar"
fabada asturiana,"beyaz fasulye,chorizo,morcilla,bacon"
pisto,"domates,kabak,patlcan,biber,soan,sarmsak"
sangria,"krmz arap,meyveler,brendi,soda suyu"
ceviche,"balk,misket limonu,soan,ac biber,kini"
lomo saltado,"sr eti,domates,soanlar,kzarm patates,soya sosu"
aji de gallina,"tavuk,krema,ceviz,ac biber,ekmek"
anticuchos,"sr kalbi,sirke,sarmsak,baharatlar"
pisco sour,"pisco,misket limonu,yumurta ak,bitters,eker"
feijoada,"siyah fasulye,domuz eti,sr eti,sosis,sarmsak"
moqueca,"balk,hindistancevizi st,domates,biber,kini"
churrasco,"sr eti,tuz,sarmsak"
coxinha,"tavuk,hamur,krem peynir,galeta unu"
brigadeiro,"kondens st,kakao tozu,tereya,ikolata serpitirmesi"
quinoa salad,"kinoa,sebzeler,limon sosu"
hummus,"nohut,tahin,sarmsak,limon,zeytinya"
shakshuka,"domates,yumurta,biber,soan,sarmsak,baharatlar"
baba ganoush,"patlcan,tahin,sarmsak,limon,zeytinya"
fattoush,"kark yeillikler,domates,salatalk,kzarm pita ekmekleri,sumak"
mansaf,"kuzu eti, yourt sosu, pirin, badem"
tagine,"et , kurutulmu meyveler, baharatlar, sebzeler"
couscous,"irmik, sebzeler, et, baharatlar"
harira,"domatesler, mercimek, nohut, et, baharatlar"
pastilla,"yufka, gvercin , badem, baharatlar"
biryani,"basmati pirinci, et, baharatlar, yourt"
butter chicken,"tavuk, domates, krema, baharatlar, tereya"
palak paneer,"spanak, peynir, sarmsak, zencefil, krema"
rogan josh,"kuzu eti, yourt, baharatlar, sarmsak, zencefil"
samosa,"un, patates, bezelye, baharatlar, ya"
chole bhature,"nohut, un, baharatlar, yourt"
dosa,"pirin, mercimek, baharatlar"
idli,"pirin, mercimek, fermantasyon"
vada pav,"patates kftesi, ekmek rei, utney, baharatlar"
pani puri,"irmik, patates, nohut, hindi ekisi suyu"
gulab jamun,"st katlar, erbet, kakule"
jalebi,"un, yourt, erbet, safran"
bakso,"et toplar, erite, et suyu, sebzeler"
nasi goreng,"pirin, yumurta, sebzeler, tavuk, tatl soya sosu"
satay,"et, yer fst sosu, baharatlar"
gado-gado,"sebzeler, yer fst sosu, tofu, tempeh"
rendang,"sr eti, hindistancevizi st, baharatlar"
pho,"et suyu, pirin eriteleri, taze otlar, sr eti"
